parametre_id,nom,valeur,unite,page_pdf,fiabilite,pertinence_modele,commentaire,biais_ref,_source_key,_source_sheet,voie_id_dataset,nom_afcc,code_gr,pct_repondants,n_estime,passe_sjpp,passe_somport,longueur_km,pertinence_projet,notes,mois_num,mois,pct_repondants_actifs,signal_modele,dimension,categorie,valeur_pct,base_n_estime,notes_modele,theme,critere,note_sur_4,norme,comparaison_lot_focus,obs_id,source,producteur,annee_enquete,annee_publication,perimetre,type_donnee,page,Durée,Voie du Puy,Via Turonensis (Tours),Via Lemovicensis (Vézelay),Lot (dpt 46) — tranche estimée,Implication modèle à compartiments,Thème,Indicateur,Lot,Total / Voie Puy,Écart,Lecture analytique,Signal,Donnée source,Implication pour le modèle,Priorité,point_id_projet,lieu,departement,voie_id,valeur_2016,type_source_carte,lien_dataset_principal,comparaison_afcc_2021,valeur_2018,valeur_2017,n_estime_2018,indicateur,comparaison_sources,implication_modele
P11,Part très expérimentés (5+ fois),12,pourcentage,12,ÉLEVÉE,INFO,Ces 12% ('afficionados') font souvent des variantes ou des sections nouvelles.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,Intention de retour sur les Chemins,89,pourcentage,22,ÉLEVÉE,CRITIQUE — taux de fidélisation,69% 'oui dans les années à venir' + 20% 'oui cette année'. Taux d'abandon définitif = 1%.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P13,Objectif Santiago (ce voyage ou un jour),,qualitatif,4,ÉLEVÉE,CRITIQUE,2 répondants sur 10 font SJPP leur arrivée programmée. 8 sur 10 font une itinérance courte ou sectionée. Signal clé: 80% sont des sectionnistes potentiels en stock.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14,Fidélisation retour tourisme classique,88,pourcentage,22,ÉLEVÉE,INFO,30% 'sans aucun doute' + 58% 'possible' = 88% envisagent de revenir en vacances dans un lieu traversé.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,Budget quotidien moyen toutes nationalités,45.4,€/pers/jour,17,ÉLEVÉE,CRITIQUE — paramètre D de F×T×D,"44.9€ pour Français, 49.3€ pour étrangers. HORS transport pour rejoindre le départ.",B07,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,Dépense hébergement quotidienne,26.7,€/pers/nuit,17,ÉLEVÉE,CRITIQUE,59% du budget quotidien. C'est le D unitaire hébergement dans F×T×D.,B07,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,Dépense nourriture quotidienne,14.8,€/pers/jour,17,ÉLEVÉE,CRITIQUE,,B07,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,Autres dépenses quotidiennes,3.8,€/pers/jour,17,ÉLEVÉE,INFO,"Souvenirs, artisanat, visites...",B07,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19,Budget total moyen cheminement,1154,€/personne,17,ÉLEVÉE,RÉFÉRENCE,"1,078€ Français, 1,723€ étrangers. Fortement corrélé à la durée (27.8j × 45.4€ ≈ 1,263€ — légère sous-estimation due aux jours sans dépense hébergement).",B07,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20,Dépense exemple voie du Puy (nuit),48.2,€/nuit,18,ÉLEVÉE,CRITIQUE — calibration F×T×D,Détail : 28.6€ hébergement + 15.6€ nourriture + 4.0€ frais annexes. Correspond au paramètre D dans l'exemple Lot.,B07,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P21,F nettoyé exemple Lot (Figeac-Cahors),13539,passages,18,ÉLEVÉE,CRITIQUE — calibration correction biais,"Donnée p.18 : 'moyenne des passages observés sur une année entre Figeac et Cahors grâce aux données nettoyées'. Comparer avec 14,400 Limogne brut 2024 → coefficient nettoyage ≈ 0.94 (Figeac-Cahors ≈ pondération différente). ATTENTION : période de référence non précisée dans le doc (probablement 2019 pré-COVID).",B09,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,T (nombre de nuits Lot),5,nuits,18,ÉLEVÉE,CRITIQUE,6 étapes de 25.3 km = 5 nuits dans la zone Figeac-Cahors (170 km / 25.3 km/étape ≈ 6.7 étapes).,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23,Impact économique Lot estimé,3262000,€/an,18,ÉLEVÉE,RÉFÉRENCE,"F×T×D = 13,539 × 5 × 48.2€ = 3,261,798€. Détail: hébergement 1,935,000€, alimentation 1,055,900€, autres 271,100€.","B07,B09",afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P24,Part pèlerins utilisant gîtes d'étape,81,pourcentage,15,ÉLEVÉE,INFO,Mode principal. Chambres d'hôtes 30%. Presbytères 19%. Note: réponses multiples.,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25,Difficultés de logement (jamais),57,pourcentage,16,ÉLEVÉE,INFO,43% ont rencontré des difficultés à se loger. Voie du Puy = 35% (surtout manque de places 67%).,,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26,Manque d'hébergements dans la zone,59,pourcentage,16,ÉLEVÉE,INFO,"Parmi ceux qui ont eu des difficultés : 59% manque structures, 48% manque de places, 19% budget.",,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27,Enquêtés 88% résidents français,88,pourcentage,4,ÉLEVÉE,CAVEAT,"Clientèle étrangère = ~12%, principalement européenne. Biais enquête francophone sous-représente nationalités non-EU.",B10,afcc_comportemental,01_parametres_flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,V01,Voie du Puy / Chemin du Puy,GR65,55.0,1961.0,OUI,NON,755.0,PRINCIPALE — voie de référence du projet,Concentration très forte sur cette voie. Produit d'appel majeur (image+notoriété). Primo-cheminants plus nombreux.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,V02,Voie d'Arles,GR653,13.0,463.0,NON,OUI,826.0,SECONDAIRE — critique pour biais SJPP,"Passe par Somport (Espagne), rejoint Camino Aragonés. Ne passe PAS par SJPP → source du biais SJPP comme proxy flux total.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,V03,Voie de Vézelay,GR654,12.0,428.0,OUI,NON,900.0,SECONDAIRE,Plus forte proportion de difficultés hébergement (58%). Voie longue mais bien notée satisfaction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,V04,Voie de Tours,GR655,10.0,357.0,OUI,NON,755.0,SECONDAIRE,"Voie historique la plus empruntée au Moyen-Âge, aujourd'hui peu fréquentée (5e position). Très faible couverture données.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,V05,Chemin du Piémont Pyrénéen,GR78,6.0,214.0,OUI,NON,750.0,SECONDAIRE,Liaison entre Voie d'Arles et SJPP via le sud des Pyrénées. Fréquentation en hausse signalée qualitativement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,V06,GR651 / Voie du Célé,GR651,5.0,178.0,IND,NON,,VARIANTE GR65,Variante de la Via Podiensis contournant la plaine de Limogne. Compteur 2024 défaillant dans Bilan Lot Tourisme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,V07,Chemin par Rocamadour,GR6/46,3.0,107.0,IND,NON,,VARIANTE RÉGIONALE,Variante en hausse (boucles itinérantes). Attire randonneurs locaux + pèlerins Compostelle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,,Chemin du littoral,,3.0,107.0,OUI,NON,,SECONDAIRE MARGINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,,Chemin de Genève,GR65,3.0,107.0,OUI,NON,,SECONDAIRE MARGINAL,Variante du GR65 venant de Genève.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,,Chemin de Cluny,GR765,2.0,71.0,OUI,NON,,MARGINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,,Chemin Lyon-Le Puy,GR765,1.0,36.0,OUI,NON,,MARGINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,,Chemin des Allemands,,1.0,36.0,OUI,NON,,MARGINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,,Chemin Conques-Toulouse,,1.0,36.0,IND,NON,,MARGINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,,Via Garona,GR861,1.0,36.0,IND,NON,,MARGINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,02_voies_distribution,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FAIBLE,,,,afcc_comportemental,04_saisonnalite,,,,,,,,,,Enquête terrain débute en mai → avril sous-représenté. Réalité probablement 8-10% (cf. données SJPP qui montrent avril significatif),4,Avril,3.0,SOUS-ESTIMÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,MOYENNE,,,,afcc_comportemental,04_saisonnalite,,,,,,,,,,Sous-représentation possible printemps. SJPP montre que mai est souvent le pic.,5,Mai,12.0,PROBABLEMENT SOUS-ESTIMÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ÉLEVÉE,,,,afcc_comportemental,04_saisonnalite,,,,,,,,,,Bon mois. Cohérent avec données éco-compteurs.,6,Juin,15.0,FIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ÉLEVÉE,,,,afcc_comportemental,04_saisonnalite,,,,,,,,,,Forte saison estivale.,7,Juillet,18.0,FIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,MOYENNE,,,,afcc_comportemental,04_saisonnalite,,,,,,,,,,"Pic selon l'enquête. Mais année jacquaire 2021 concentre sur été. Dans les années normales, août ≈ 20% selon SJPP.",8,Août,23.0,PROBABLEMENT SURESTIMÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,MOYENNE,,,,afcc_comportemental,04_saisonnalite,,,,,,,,,,Idem août — biais année jacquaire. Arrière-saison 2021 particulièrement forte.,9,Septembre,23.0,PROBABLEMENT SURESTIMÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ÉLEVÉE,,,,afcc_comportemental,04_saisonnalite,,,,,,,,,,Fin de saison. Cohérent avec la baisse éco-compteurs.,10,Octobre,6.0,FIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,04_saisonnalite,,,,,,,,,,,TOTAL (réponses multiples possibles),,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,04_saisonnalite,,,,,,,,,,,"Recommandation modèle : utiliser la distribution mensuelle SJPP 2018-2024 comme référence de saisonnalité (série longue, non biaisée, année jacquaire identifiable).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Sexe,Femme,54,1925,Légère majorité femmes. Plus marquée voie du Puy (60%). S'équilibre sur voies secondaires.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Sexe,Homme,46,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Age,Moins de 35 ans,11,392,Part non négligeable — segment en croissance (opportunité identifiée dans Synthèse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Age,35 à 42 ans,6,214,'Creux' structurel de la tranche 35-50 ans (logistique vie pro/famille contraignante),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Age,42 à 49 ans,7,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Age,49 à 56 ans,14,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Age,56 ans et plus,62,2210,Dominante senior. Retraités + actifs CSP+ en fin de carrière.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Statut_pro,En activité,44,1569,44% actifs — dont très forte proportion de cadres sup/libéraux (37%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Statut_pro,À la retraite,44,1569,Quasi-parité actifs/retraités — atypique vs tourisme classique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Statut_pro,Sans emploi,8,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Statut_pro,Étudiant,3,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,CSP_actifs,Cadre supérieur/libéral,37,1320,Surreprésentation CSP+ très marquée — plus forte sur voie du Puy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,CSP_actifs,Employé,32,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,CSP_actifs,Profession intermédiaire,20,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,CSP_actifs,Artisan/commerçant,9,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,CSP_actifs,Ouvrier,2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Pratique_rando,Très souvent (plusiceurs/mois),48,1711,Marcheurs aguerris. Le chemin N'EST PAS leur découverte de la randonnée.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Pratique_rando,Souvent (plusieurs fois/an),37,1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Pratique_rando,Rarement,11,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Pratique_rando,Très rarement/jamais,4,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Primo,1ère fois (primo-cheminant),51,1818,CRITIQUE modèle — 51% de flux 'entrants frais' sans comportement de retour connu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Primo,Déjà pratiqué 2-5 fois,37,1319,CRITIQUE — ces 37% sont les flux de retour (multi-saisons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Primo,Déjà pratiqué 5+ fois,12,428,'Afficionados' — fidèles très engagés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Mode_groupe,Seul,50,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Mode_groupe,Entre amis,22,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Mode_groupe,En couple,18,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Mode_groupe,En famille,9,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,Mode_groupe,Groupe organisé,1,36,Quasi inexistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,TYPOLOGIES COMPORTEMENTALES (5 segments — p.24-25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,axe_x,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,typologie,label,pct,n_estime,axe_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Défi++/Organisation++,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,LE DEFI,Les challengers,27,963,Je marche seulement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Défi++/Organisation++,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,LA DECOUVERTE,Les curieux,24,856,Je marche et j'explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Introspection++/Organisation--,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,LA SPIRITUALITE,L'esprit du Chemin,21,749,Je marche seulement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Introspection++/Organisation--,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,LA TRANSITION,Une étape de vie,17,606,Je marche et j'explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Défi++/Organisation++,,,,,afcc_comportemental,05_profil_typologies,,,,,,,,,,,,,,,LA PASSION,Les afficionados,11,392,Je marche et j'explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,06_satisfaction_eco,,,,,,,,,,POINT FORT MAJEUR — 1er critère satisfaction,,,,,,,,,,En chemin,Beauté paysages/environnement naturel,3.7,bonne à très bonne,Lot Focus: 3.49 (légèrement moins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,afcc_comportemental,06_satisfaction_eco,,,,,,,,,,Très bien noté surtout par le public féminin,,,,,,,,,,En chemin,Sécurité biens et personnes,3.4,moyenne à bonne,Lot Focus: non isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
